0	0	2	4	6	8	10
8	100.0000	-30.5056	-39.4684	-46.3163	-51.5530	100.0000
9	100.0000	-35.2992	-44.3629	-50.9113	-55.6020	100.0000
10	100.0000	-39.4977	-48.4463	-54.5103	-58.5393	-61.1059
12.5	100.0000	-47.2382	-55.3114	-59.8303	-62.2676	-63.5185
15	100.0000	-51.3104	-58.3672	-61.6596	-63.2147	-63.9549
17.5	100.0000	-52.5559	-59.0074	-61.8077	-63.1427	-63.8192
20	100.0000	-51.8194	-58.1849	-61.0957	-62.5810	-63.3978
22.5	100.0000	-49.4592	-56.3221	-59.7430	-61.6076	-62.6974
25	100.0000	-45.4726	-53.5199	-57.7602	-60.1897	-61.6720
27.5	100.0000	-39.7942	-49.7271	-55.0950	-58.2710	100.0000
30	100.0000	-32.4076	-44.8574	-51.6785	-55.7934	100.0000
32.5	100.0000	-23.3477	-38.8477	-47.4463	-52.7030	100.0000
35	100.0000	-12.6805	-31.6690	-42.3486	-48.9527	100.0000
37.5	100.0000	-0.4899	-23.3232	-36.3555	-44.5057	100.0000
40	100.0000	13.1314	-13.8331	-29.4548	-39.3367	100.0000
42.5	100.0000	28.0872	-3.2366	-21.6500	-33.4318	100.0000
45	100.0000	44.2798	8.4187	-12.9570	-26.7883	100.0000
47.5	100.0000	61.6144	21.0806	-3.3992	-19.4109	100.0000
50	100.0000	79.9979	34.6930	6.9934	-11.3117	100.0000
