 COULOMB WAVE FUNCTIONS FOR
     TMAS=208.000 ZZT= 82.000 PMAS=  1.000 ZZP=  1.000 RMAS=  0.995
     ELAB= 10.000 ECM=  9.952 WN  =  0.688 ETA=  0.004 TURN=  2.454


 REGULAR COULOMB WAVE FUNCTIONS UP TO L=  2
    X         L=0            L=1           L=2

  0.800  0.520974E+00  0.975069E-01  0.108296E-01
  0.900  0.578279E+00  0.122426E+00  0.153321E-01
  1.000  0.632885E+00  0.149795E+00  0.208981E-01
  1.100  0.684531E+00  0.179458E+00  0.276195E-01
  1.200  0.732971E+00  0.211245E+00  0.355804E-01
  1.300  0.777976E+00  0.244975E+00  0.448562E-01
  1.400  0.819333E+00  0.280454E+00  0.555133E-01
  1.500  0.856843E+00  0.317476E+00  0.676082E-01
  1.600  0.890329E+00  0.355829E+00  0.811875E-01
  1.700  0.919631E+00  0.395288E+00  0.962871E-01
  1.800  0.944610E+00  0.435622E+00  0.112932E+00
  1.900  0.965145E+00  0.476596E+00  0.131136E+00
  2.000  0.981140E+00  0.517966E+00  0.150901E+00
  2.100  0.992516E+00  0.559487E+00  0.172218E+00
  2.200  0.999219E+00  0.600910E+00  0.195066E+00
  2.300  0.100122E+01  0.641985E+00  0.219412E+00
  2.400  0.998498E+00  0.682462E+00  0.245212E+00
  2.500  0.991075E+00  0.722091E+00  0.272409E+00
  2.600  0.978980E+00  0.760627E+00  0.300936E+00
  2.700  0.962271E+00  0.797828E+00  0.330714E+00
  2.800  0.941025E+00  0.833454E+00  0.361654E+00
  2.900  0.915342E+00  0.867276E+00  0.393654E+00
  3.000  0.885342E+00  0.899069E+00  0.426605E+00
  3.100  0.851166E+00  0.928619E+00  0.460386E+00
  3.200  0.812974E+00  0.955720E+00  0.494868E+00
  3.300  0.770947E+00  0.980177E+00  0.529913E+00
  3.400  0.725282E+00  0.100181E+01  0.565375E+00
  3.500  0.676195E+00  0.102044E+01  0.601103E+00
  3.600  0.623915E+00  0.103593E+01  0.636936E+00
  3.700  0.568691E+00  0.104812E+01  0.672710E+00
  3.800  0.510782E+00  0.105690E+01  0.708254E+00
  3.900  0.450462E+00  0.106215E+01  0.743397E+00
  4.000  0.388015E+00  0.106378E+01  0.777960E+00
  4.100  0.323736E+00  0.106172E+01  0.811766E+00
  4.200  0.257928E+00  0.105591E+01  0.844635E+00
  4.300  0.190902E+00  0.104630E+01  0.876386E+00
  4.400  0.122974E+00  0.103289E+01  0.906840E+00
  4.500  0.544658E-01  0.101566E+01  0.935820E+00
  4.600 -0.143000E-01  0.994642E+00  0.963151E+00
  4.700 -0.829982E-01  0.969863E+00  0.988661E+00
  4.800 -0.151304E+00  0.941380E+00  0.101219E+01
  4.900 -0.218896E+00  0.909267E+00  0.103356E+01
  5.000 -0.285453E+00  0.873614E+00  0.105264E+01
  5.100 -0.350661E+00  0.834533E+00  0.106926E+01
  5.200 -0.414213E+00  0.792150E+00  0.108330E+01
  5.300 -0.475807E+00  0.746610E+00  0.109463E+01
  5.400 -0.535152E+00  0.698073E+00  0.110311E+01
  5.500 -0.591969E+00  0.646716E+00  0.110866E+01
  5.600 -0.645988E+00  0.592730E+00  0.111116E+01
  5.700 -0.696954E+00  0.536321E+00  0.111053E+01
  5.800 -0.744626E+00  0.477707E+00  0.110671E+01
  5.900 -0.788778E+00  0.417119E+00  0.109963E+01
  6.000 -0.829202E+00  0.354799E+00  0.108924E+01
  6.100 -0.865707E+00  0.290999E+00  0.107552E+01
  6.200 -0.898119E+00  0.225981E+00  0.105845E+01
  6.300 -0.926285E+00  0.160011E+00  0.103803E+01
  6.400 -0.950073E+00  0.933662E-01  0.101427E+01
  6.500 -0.969369E+00  0.263255E-01  0.987200E+00
  6.600 -0.984083E+00 -0.408270E-01  0.956863E+00
  6.700 -0.994143E+00 -0.107805E+00  0.923320E+00
  6.800 -0.999504E+00 -0.174321E+00  0.886646E+00
  6.900 -0.100014E+01 -0.240089E+00  0.846929E+00
  7.000 -0.996044E+00 -0.304821E+00  0.804275E+00
  7.100 -0.987241E+00 -0.368237E+00  0.758803E+00
  7.200 -0.973769E+00 -0.430057E+00  0.710645E+00
  7.300 -0.955692E+00 -0.490010E+00  0.659949E+00
  7.400 -0.933097E+00 -0.547829E+00  0.606876E+00
  7.500 -0.906088E+00 -0.603257E+00  0.551597E+00
  7.600 -0.874796E+00 -0.656047E+00  0.494299E+00
  7.700 -0.839366E+00 -0.705961E+00  0.435176E+00
  7.800 -0.799966E+00 -0.752775E+00  0.374436E+00
  7.900 -0.756784E+00 -0.796275E+00  0.312294E+00
  8.000 -0.710023E+00 -0.836265E+00  0.248976E+00
  8.100 -0.659903E+00 -0.872561E+00  0.184713E+00
  8.200 -0.606662E+00 -0.904996E+00  0.119746E+00
  8.300 -0.550552E+00 -0.933420E+00  0.543195E-01
  8.400 -0.491838E+00 -0.957699E+00 -0.113164E-01
  8.500 -0.430798E+00 -0.977720E+00 -0.769080E-01
  8.600 -0.367721E+00 -0.993387E+00 -0.142200E+00
  8.700 -0.302904E+00 -0.100462E+01 -0.206933E+00
  8.800 -0.236654E+00 -0.101137E+01 -0.270853E+00
  8.900 -0.169285E+00 -0.101360E+01 -0.333699E+00
  9.000 -0.101115E+00 -0.101129E+01 -0.395221E+00
  9.100 -0.324670E-01 -0.100444E+01 -0.455165E+00
  9.200  0.363349E-01 -0.993090E+00 -0.513286E+00
  9.300  0.104965E+00 -0.977272E+00 -0.569342E+00
  9.400  0.173098E+00 -0.957058E+00 -0.623099E+00
  9.500  0.240413E+00 -0.932532E+00 -0.674331E+00
  9.600  0.306590E+00 -0.903801E+00 -0.722821E+00
  9.700  0.371317E+00 -0.870991E+00 -0.768362E+00
  9.800  0.434287E+00 -0.834245E+00 -0.810757E+00
  9.900  0.495202E+00 -0.793727E+00 -0.849823E+00
 10.000  0.553775E+00 -0.749615E+00 -0.885389E+00


 IRREGULAR COULOMB WAVE FUNCTIONS UP TO L=  2
    X         L=0            L=1           L=2

  0.800  0.856606E+00  0.207979E+01  0.104867E+02
  0.900  0.818797E+00  0.190260E+01  0.840645E+01
  1.000  0.777166E+00  0.176400E+01  0.692188E+01
  1.100  0.731900E+00  0.165272E+01  0.582669E+01
  1.200  0.683207E+00  0.156120E+01  0.499678E+01
  1.300  0.631312E+00  0.148417E+01  0.435380E+01
  1.400  0.576456E+00  0.141781E+01  0.384628E+01
  1.500  0.518894E+00  0.135932E+01  0.343931E+01
  1.600  0.458896E+00  0.130657E+01  0.310845E+01
  1.700  0.396740E+00  0.125791E+01  0.283621E+01
  1.800  0.332720E+00  0.121207E+01  0.260978E+01
  1.900  0.267135E+00  0.116802E+01  0.241959E+01
  2.000  0.200292E+00  0.112495E+01  0.225836E+01
  2.100  0.132508E+00  0.108223E+01  0.212047E+01
  2.200  0.640988E-01  0.103932E+01  0.200152E+01
  2.300 -0.461185E-02  0.995818E+00  0.189801E+01
  2.400 -0.733011E-01  0.951394E+00  0.180712E+01
  2.500 -0.141645E+00  0.905795E+00  0.172657E+01
  2.600 -0.209321E+00  0.858828E+00  0.165449E+01
  2.700 -0.276010E+00  0.810356E+00  0.158931E+01
  2.800 -0.341398E+00  0.760289E+00  0.152973E+01
  2.900 -0.405176E+00  0.708578E+00  0.147465E+01
  3.000 -0.467043E+00  0.655212E+00  0.142315E+01
  3.100 -0.526708E+00  0.600211E+00  0.137443E+01
  3.200 -0.583887E+00  0.543631E+00  0.132782E+01
  3.300 -0.638312E+00  0.485548E+00  0.128272E+01
  3.400 -0.689725E+00  0.426066E+00  0.123865E+01
  3.500 -0.737882E+00  0.365312E+00  0.119515E+01
  3.600 -0.782558E+00  0.303431E+00  0.115188E+01
  3.700 -0.823539E+00  0.240587E+00  0.110850E+01
  3.800 -0.860633E+00  0.176960E+00  0.106475E+01
  3.900 -0.893663E+00  0.112742E+00  0.102039E+01
  4.000 -0.922474E+00  0.481414E-01  0.975247E+00
  4.100 -0.946930E+00 -0.166259E-01  0.929155E+00
  4.200 -0.966913E+00 -0.813338E-01  0.881992E+00
  4.300 -0.982331E+00 -0.145749E+00  0.833665E+00
  4.400 -0.993109E+00 -0.209633E+00  0.784106E+00
  4.500 -0.999196E+00 -0.272743E+00  0.733274E+00
  4.600 -0.100056E+01 -0.334834E+00  0.681152E+00
  4.700 -0.997204E+00 -0.395659E+00  0.627744E+00
  4.800 -0.989134E+00 -0.454972E+00  0.573076E+00
  4.900 -0.976391E+00 -0.512530E+00  0.517193E+00
  5.000 -0.959035E+00 -0.568092E+00  0.460160E+00
  5.100 -0.937148E+00 -0.621425E+00  0.402057E+00
  5.200 -0.910832E+00 -0.672299E+00  0.342983E+00
  5.300 -0.880212E+00 -0.720492E+00  0.283049E+00
  5.400 -0.845433E+00 -0.765794E+00  0.222383E+00
  5.500 -0.806659E+00 -0.808001E+00  0.161125E+00
  5.600 -0.764072E+00 -0.846923E+00  0.994245E-01
  5.700 -0.717874E+00 -0.882382E+00  0.374453E-01
  5.800 -0.668283E+00 -0.914214E+00 -0.246410E-01
  5.900 -0.615534E+00 -0.942267E+00 -0.866541E-01
  6.000 -0.559875E+00 -0.966408E+00 -0.148406E+00
  6.100 -0.501569E+00 -0.986517E+00 -0.209704E+00
  6.200 -0.440893E+00 -0.100249E+01 -0.270347E+00
  6.300 -0.378132E+00 -0.101425E+01 -0.330134E+00
  6.400 -0.313584E+00 -0.102172E+01 -0.388858E+00
  6.500 -0.247553E+00 -0.102487E+01 -0.446313E+00
  6.600 -0.180352E+00 -0.102365E+01 -0.502291E+00
  6.700 -0.112299E+00 -0.101806E+01 -0.556586E+00
  6.800 -0.437141E-01 -0.100811E+01 -0.608992E+00
