 SPHERICAL BESSEL FUNCTIONS FOR
     TMAS=208.000 ZZT= 82.000 PMAS=  1.000 ZZP=  1.000 RMAS=  0.995
     ELAB= 10.000 ECM=  9.952 WN  =  0.688 ETA=  0.004 TURN=  2.454
 REGULAR SPHERICAL BESSEL FUNCTIONS UP TO L=  2
    X         L=0            L=1           L=2

  0.000  0.100000E+01  0.000000E+00  0.000000E+00
  0.100  0.999210E+00  0.229355E-01  0.315815E-03
  0.200  0.996844E+00  0.458058E-01  0.126198E-02
  0.300  0.992907E+00  0.685460E-01  0.283465E-02
  0.400  0.987411E+00  0.910915E-01  0.502743E-02
  0.500  0.980372E+00  0.113378E+00  0.783143E-02
  0.600  0.971809E+00  0.135344E+00  0.112353E-01
  0.700  0.961746E+00  0.156926E+00  0.152251E-01
  0.800  0.950213E+00  0.178064E+00  0.197847E-01
  0.900  0.937242E+00  0.198698E+00  0.248955E-01
  1.000  0.922870E+00  0.218772E+00  0.305368E-01
  1.100  0.907136E+00  0.238230E+00  0.366856E-01
  1.200  0.890086E+00  0.257019E+00  0.433169E-01
  1.300  0.871767E+00  0.275086E+00  0.504037E-01
  1.400  0.852230E+00  0.292384E+00  0.579172E-01
  1.500  0.831531E+00  0.308867E+00  0.658266E-01
  1.600  0.809726E+00  0.324490E+00  0.740997E-01
  1.700  0.786876E+00  0.339213E+00  0.827029E-01
  1.800  0.763045E+00  0.352999E+00  0.916008E-01
  1.900  0.738298E+00  0.365813E+00  0.100757E+00
  2.000  0.712704E+00  0.377623E+00  0.110135E+00
  2.100  0.686331E+00  0.388403E+00  0.119694E+00
  2.200  0.659253E+00  0.398127E+00  0.129398E+00
  2.300  0.631543E+00  0.406775E+00  0.139204E+00
  2.400  0.603274E+00  0.414328E+00  0.149074E+00
  2.500  0.574524E+00  0.420774E+00  0.158966E+00
  2.600  0.545369E+00  0.426101E+00  0.168840E+00
  2.700  0.515885E+00  0.430304E+00  0.178654E+00
  2.800  0.486151E+00  0.433378E+00  0.188369E+00
  2.900  0.456244E+00  0.435326E+00  0.197943E+00
  3.000  0.426242E+00  0.436150E+00  0.207337E+00
  3.100  0.396221E+00  0.435860E+00  0.216511E+00
  3.200  0.366259E+00  0.434466E+00  0.225427E+00
  3.300  0.336430E+00  0.431983E+00  0.234048E+00
  3.400  0.306809E+00  0.428430E+00  0.242336E+00
  3.500  0.277468E+00  0.423828E+00  0.250256E+00
  3.600  0.248480E+00  0.418203E+00  0.257776E+00
  3.700  0.219914E+00  0.411581E+00  0.264861E+00
  3.800  0.191837E+00  0.403996E+00  0.271481E+00
  3.900  0.164314E+00  0.395479E+00  0.277607E+00
  4.000  0.137408E+00  0.386069E+00  0.283212E+00
  4.100  0.111180E+00  0.375804E+00  0.288271E+00
  4.200  0.856868E-01  0.364726E+00  0.292759E+00
  4.300  0.609828E-01  0.352880E+00  0.296656E+00
  4.400  0.371194E-01  0.340312E+00  0.299943E+00
  4.500  0.141447E-01  0.327070E+00  0.302603E+00
  4.600 -0.789672E-02  0.313204E+00  0.304622E+00
  4.700 -0.289635E-01  0.298765E+00  0.305988E+00
  4.800 -0.490182E-01  0.283807E+00  0.306690E+00
  4.900 -0.680269E-01  0.268384E+00  0.306723E+00
  5.000 -0.859595E-01  0.252551E+00  0.306082E+00
  5.100 -0.102790E+00  0.236364E+00  0.304764E+00
  5.200 -0.118495E+00  0.219880E+00  0.302770E+00
  5.300 -0.133057E+00  0.203155E+00  0.300103E+00
  5.400 -0.146461E+00  0.186247E+00  0.296768E+00
  5.500 -0.158696E+00  0.169213E+00  0.292774E+00
  5.600 -0.169756E+00  0.152111E+00  0.288130E+00
  5.700 -0.179638E+00  0.134995E+00  0.282850E+00
  5.800 -0.188343E+00  0.117924E+00  0.276948E+00
  5.900 -0.195876E+00  0.100950E+00  0.270442E+00
  6.000 -0.202245E+00  0.841294E-01  0.263351E+00
  6.100 -0.207463E+00  0.675142E-01  0.255697E+00
  6.200 -0.211546E+00  0.511560E-01  0.247504E+00
  6.300 -0.214513E+00  0.351049E-01  0.238797E+00
  6.400 -0.216388E+00  0.194091E-01  0.229604E+00
  6.500 -0.217195E+00  0.411507E-02  0.219954E+00
  6.600 -0.216964E+00 -0.107327E-01  0.209878E+00
  6.700 -0.215728E+00 -0.250920E-01  0.199407E+00
  6.800 -0.213522E+00 -0.389229E-01  0.188577E+00
  6.900 -0.210383E+00 -0.521877E-01  0.177421E+00
  7.000 -0.206351E+00 -0.648514E-01  0.165976E+00
  7.100 -0.201468E+00 -0.768815E-01  0.154279E+00
  7.200 -0.195781E+00 -0.882484E-01  0.142366E+00
  7.300 -0.189334E+00 -0.989251E-01  0.130278E+00
  7.400 -0.182177E+00 -0.108888E+00  0.118052E+00
  7.500 -0.174360E+00 -0.118115E+00  0.105728E+00
  7.600 -0.165933E+00 -0.126588E+00  0.933449E-01
  7.700 -0.156949E+00 -0.134293E+00  0.809430E-01
  7.800 -0.147462E+00 -0.141217E+00  0.685615E-01
  7.900 -0.137525E+00 -0.147351E+00  0.562396E-01
  8.000 -0.127193E+00 -0.152689E+00  0.440160E-01
  8.100 -0.116521E+00 -0.157228E+00  0.319291E-01
  8.200 -0.105564E+00 -0.160967E+00  0.200165E-01
  8.300 -0.943777E-01 -0.163911E+00  0.831492E-02
  8.400 -0.830156E-01 -0.166064E+00 -0.313978E-02
  8.500 -0.715322E-01 -0.167436E+00 -0.143129E-01
  8.600 -0.599810E-01 -0.168038E+00 -0.251708E-01
  8.700 -0.484144E-01 -0.167883E+00 -0.356814E-01
  8.800 -0.368840E-01 -0.166990E+00 -0.458139E-01
  8.900 -0.254400E-01 -0.165378E+00 -0.555392E-01
  9.000 -0.141311E-01 -0.163068E+00 -0.648298E-01
  9.100 -0.300451E-02 -0.160084E+00 -0.736599E-01
  9.200  0.789425E-02 -0.156454E+00 -0.820056E-01
  9.300  0.185216E-01 -0.152205E+00 -0.898450E-01
  9.400  0.288361E-01 -0.147368E+00 -0.971582E-01
  9.500  0.387983E-01 -0.141975E+00 -0.103927E+00
  9.600  0.483710E-01 -0.136060E+00 -0.110136E+00
  9.700  0.575196E-01 -0.129658E+00 -0.115772E+00
  9.800  0.662118E-01 -0.122807E+00 -0.120823E+00
  9.900  0.744179E-01 -0.115543E+00 -0.125280E+00
 10.000  0.821109E-01 -0.107905E+00 -0.129136E+00
